Date,Open,High,Low,Close,Volume
2/21/2001,255.1,275,255.1,265.3,10091
2/22/2001,270.45,270.45,263.4,267,124366
2/23/2001,268.65,268.65,261.65,262,12558
2/26/2001,265,268.5,261,266.9,12305
2/27/2001,265.1,269.95,260,265.3,180633
2/28/2001,265,271,263.3,266,37077
3/1/2001,248.45,270.6,248.45,267.6,16884
3/2/2001,274.9,274.9,265.1,268.25,162495
3/5/2001,272,276,265,265.9,19284
3/7/2001,270,270,262.05,264.1,27737
3/8/2001,274.9,277,262,263.65,15429
3/9/2001,261.25,270,255,261.45,249683
3/12/2001,252,266,252,264.1,28225
3/13/2001,251.1,267.5,243,259.8,29457
3/14/2001,252,260,248.05,254.65,19870
3/15/2001,258,258,245.25,250.4,5485
3/16/2001,245.1,248.65,237,240.75,4776
3/19/2001,231.15,249,231.15,246.5,6529
3/20/2001,247.5,247.5,238,243.85,8612
3/21/2001,240,247.4,234,244.85,26036
3/22/2001,245.5,250,245.5,248.1,2560
3/23/2001,248,248,243,247.65,5611
3/26/2001,245,249,242,245.3,1220
3/27/2001,245,247.5,235,242.45,49477
3/28/2001,244.45,247,242,245.35,61252
3/29/2001,245.75,258,242.55,247.2,6612
3/30/2001,245.2,248.65,244,245.45,3395
4/2/2001,241,254.9,235.25,242.5,9490
4/3/2001,244.9,246.5,241.25,244.35,1535
4/4/2001,245,245,240.15,243.9,8029
4/6/2001,247,248,243.35,245.9,2313
4/9/2001,245,252.75,245,250,4513
4/10/2001,251,252.8,249,249.8,2589
4/11/2001,250,250,245,247.3,1874
4/12/2001,243.2,255,233.25,250.45,279742
4/16/2001,254,254.9,247,253.75,6743
4/17/2001,254.9,265,248,262.75,14503
4/18/2001,265,265,255.75,259.9,7406
4/19/2001,255,269,255,266.35,9710
4/20/2001,271,271,260.65,268.7,9017
4/23/2001,262.6,266.95,260,263.45,3975
4/24/2001,263.15,263.15,260.1,260.9,2982
4/25/2001,262,263,258.15,260.5,1513
4/26/2001,260,263,258.05,258.75,1428
4/27/2001,250.5,258,250.5,255.4,1874
4/30/2001,267,267,253.7,261.2,13925
5/2/2001,256.05,266,256.05,265,67946
5/3/2001,264.9,264.9,260.5,261.95,3255
5/4/2001,261.25,262.65,261.25,261.75,2920
5/7/2001,262,263.2,260.05,263,1900
5/8/2001,264.8,280,264,274.85,24259
5/9/2001,272,273.9,256,266.95,3536
5/10/2001,266,267,266,266.5,1360
5/11/2001,266.1,266.1,258,259.85,2284
5/14/2001,258.05,260,257.15,258.9,672
5/15/2001,267,275,251.15,253.7,4043
5/16/2001,259.95,260.9,253,254.55,4200
5/17/2001,258.85,259,251,253.95,4862
5/18/2001,259.5,259.5,251,252.05,7050
5/21/2001,253.7,260,247,250.4,7743
5/22/2001,250,251.75,244.1,245.5,8057
5/23/2001,250,252.5,249,250.9,5082
5/24/2001,251.7,251.7,247,249.9,6891
5/25/2001,248.75,250,245.5,249.95,13693
5/28/2001,251.6,251.7,246.5,249.45,4856
5/29/2001,250.9,251,245.2,249.65,11946
5/30/2001,258.95,258.95,249.5,252,4893
5/31/2001,254,255,249.05,253.45,3314
6/1/2001,257.45,257.45,252.15,253.6,2326
6/4/2001,252.15,254.5,250,253.25,3300
6/5/2001,252,254,247,249.35,4384
6/6/2001,250,255,248,251.65,3328
6/7/2001,250,251.95,243.55,245.8,5047
6/8/2001,247.9,250,245.1,246.7,7967
6/11/2001,249,255,241.1,251.3,27090
6/12/2001,254.95,254.95,247,249.4,8049
6/13/2001,254.95,254.95,249.15,250.75,12801
6/14/2001,253,253,250,251.25,13733
6/15/2001,247.1,261.9,247.1,254,25163
6/18/2001,256.95,256.95,247,247.7,16229
6/19/2001,246.05,250,246.05,249.6,42993
6/20/2001,249.5,250,247.55,249.65,8416
